titre,entreprise,secteur,localisation,competences,experience,contrat,description,source,text_for_matching,text_clean,cluster_dbscan
Receptionniste,BestProfil,Tourisme / Hôtellerie / Restauration,Marrakech,Arabe,"en accueil ou en secretariat excellente maitrise du francais et de l'anglais (oral et ecrit) connaissances de base en gestion administrative maitrise des outils bureautiques (word, excel, etc.) sens de l'organisation et rigueur excellentes",Interim,"en communication et en service client connaissance d'une autre langue (arabe, espagnol, etc.) experience dans le secteur hotelier ou touristique connaissances de base en comptabilite",marocannonces,"Receptionniste Arabe Tourisme / Hôtellerie / Restauration en communication et en service client connaissance d'une autre langue (arabe, espagnol, etc.) experience dans le secteur hotelier ou touristique connaissances de base en comptabilite",receptionniste arabe tourisme hotellerie restauration communication service client connaissance langue arabe espagnol experience secteur hotelier touristique connaissance base comptabilite,-1
Agent de nettoyage,BEINTERIM,Tourisme / Hôtellerie / Restauration,Essaouira,,dans un poste similaire souhaitee capacite a travailler en autonomie,Interim,dans un poste similaire souhaitee capacite a travailler en autonomie,marocannonces,Agent de nettoyage Tourisme / Hôtellerie / Restauration dans un poste similaire souhaitee capacite a travailler en autonomie,agent nettoyage tourisme hotellerie restauration poste similaire souhaitee capacite travailler autonomie,11
Caissières à,AFRICA STAFFING,Commercial / Vente,Casablanca,Commerce,client.,Interim,"experience souhaitee dans un poste similaire (distribution, restauration, commerce) presentation soignee, sens du service et bonne communication serieux(se), organise(e) et ponctuel(le) maitrise de base des outils de caisse",marocannonces,"Caissières à Commerce Commercial / Vente experience souhaitee dans un poste similaire (distribution, restauration, commerce) presentation soignee, sens du service et bonne communication serieux(se), organise(e) et ponctuel(le) maitrise de base des outils de caisse",caissiere commerce commercial vent experience souhaitee poste similaire distribution restauration commerc presentation soignee sen service bon communication serieux organiser ponctuel maitrise base outil caisse,-1
Agent scheduler,,Transport / Achat / Logistique,Casablanca,"Transport, Logistique, Excel","confirmee dans un poste similaire . bonne maitrise des techniques de planification et dordonnancement . sens de lorganisation, rigueur et reactivite . esprit dequipe et bonne capacite de communication . bonne maitrise des outils informatiques (excel, logiciels logistiques...)",A discuter,". bac +3 en transport et logistique . diplome dune ecole specialisee (type istl / ofppt ou equivalent) . une experience confirmee dans un poste similaire . bonne maitrise des techniques de planification et dordonnancement . sens de lorganisation, rigueur et reactivite . esprit dequipe et bonne capacite de communication . bonne maitrise des outils informatiques (excel, logiciels logistiques...)",marocannonces,"Agent scheduler Transport, Logistique, Excel Transport / Achat / Logistique . bac +3 en transport et logistique . diplome dune ecole specialisee (type istl / ofppt ou equivalent) . une experience confirmee dans un poste similaire . bonne maitrise des techniques de planification et dordonnancement . sens de lorganisation, rigueur et reactivite . esprit dequipe et bonne capacite de communication . bonne maitrise des outils informatiques (excel, logiciels logistiques...)",agent scheduler transport logistique excel transport achat logistique bac transport logistique diplome dun ecole specialise type istl ofppt equivalent experience confirme poste similaire bon maitrise technique planification dordonnancemer sen lorganisation rigueur reactivite esprit dequip bon capacite communication bon maitrise outil informatique excel logiciel logistique,9
Receptioniste spa,BEINTERIM,Tourisme / Hôtellerie / Restauration,Al hoceima,,dans un poste similaire ou en hotellerie souhaitee,Interim,,marocannonces,Receptioniste spa Tourisme / Hôtellerie / Restauration,receptionist spa tourisme hotellerie restauration,11
Recrutement contrôleur de nuit,,Sécurité / Surveillance / Gardiennage,Marrakech,Securite,"en surveillance ou securite souhaitee - serieux, ponctuel et discipline - capacite a travailler de nuit - bonne condition physique et sens de lorganisation lieu : marrakech merci denvoyer votre cv via lannonce ou de nous contacter pour postuler.",A discuter,"- niveau detudes : bac+2 - experience en surveillance ou securite souhaitee - serieux, ponctuel et discipline - capacite a travailler de nuit - bonne condition physique et sens de lorganisation lieu : marrakech merci denvoyer votre cv via lannonce ou de nous contacter pour postuler.",marocannonces,"Recrutement contrôleur de nuit Securite Sécurité / Surveillance / Gardiennage - niveau detudes : bac+2 - experience en surveillance ou securite souhaitee - serieux, ponctuel et discipline - capacite a travailler de nuit - bonne condition physique et sens de lorganisation lieu : marrakech merci denvoyer votre cv via lannonce ou de nous contacter pour postuler.",recrutemer controleur nuit securit securit surveillance gardiennage niveau detuder bac experience surveillance securite souhaitee serieux ponctuel discipline capacite travailler nuit bon condition physique sens lorganisation lieu marrakech denvoyer lannonce contacter postuler,-1
Gérant magasin prêt à porter,sarl,Commercial / Vente,Tanger,Vente,"en retail, minimum de 5 ans . notre magasin est specialise en vente d'article pour femme et homme. - nous recrutons une personne dynamique et serieuse avec un bon contact client. - personne interessee, veuillez, envoyer votre cv avec photo.",A discuter,"en retail, minimum de 5 ans . notre magasin est specialise en vente d'article pour femme et homme. - nous recrutons une personne dynamique et serieuse avec un bon contact client. - personne interessee, veuillez, envoyer votre cv avec photo.",marocannonces,"Gérant magasin prêt à porter Vente Commercial / Vente en retail, minimum de 5 ans . notre magasin est specialise en vente d'article pour femme et homme. - nous recrutons une personne dynamique et serieuse avec un bon contact client. - personne interessee, veuillez, envoyer votre cv avec photo.",gerer magasin pret porter vent commercial vente retail minimum magasin specialise vente article femme homme recruter dynamique serieuse bon contact client personn interesse vouloir envoyer photo,22
Assistante administrative et commerciale,Centre Académique Privé de la Formation professionnelle CAFP,Autre,Casablanca,"Commerce, Excel, Francais",est souhaitable,A discuter,"bac +3 en gestion, commerce ou equivalent bonne maitrise des outils informatiques (word, excel, email) bon niveau en francais (oral et ecrit) sens de laccueil, organisation et serieux esprit commercial et bonne communication une premiere experience est souhaitable",marocannonces,"Assistante administrative et commerciale Commerce, Excel, Francais Autre bac +3 en gestion, commerce ou equivalent bonne maitrise des outils informatiques (word, excel, email) bon niveau en francais (oral et ecrit) sens de laccueil, organisation et serieux esprit commercial et bonne communication une premiere experience est souhaitable",assistant administratif commercial commerce excel francai bac gestion commerc equivalent bon maitrise outil informatique word excel bon niveau francai oral ecrit sens laccueil organisation serieux esprit commercial bon communication experience souhaitable,-1
Responsable maintenance jorf lasfar ( ),SMM SOCODAM DAVUM,Construction / Btp,El jadida,,minimum 5 ans dans un poste similaire avec une forte experience dans la gestion de chantiers et la conduite des travaux.,CDI,"cles : sens de lorganisation, methode et rigueur. dynamisme, reactivite et flexibilite. capacite a encadrer des equipes et a gerer plusieurs projets simultanement. connaissance approfondie des normes de maintenance preventive et corrective.",marocannonces,"Responsable maintenance jorf lasfar ( ) Construction / Btp cles : sens de lorganisation, methode et rigueur. dynamisme, reactivite et flexibilite. capacite a encadrer des equipes et a gerer plusieurs projets simultanement. connaissance approfondie des normes de maintenance preventive et corrective.",responsable maintenance jorf lasfar construction btp cle sens lorganisation methode rigueur dynamism reactivite flexibilit capacit encadrer equipe gerer projet simultanemer connaissance approfondir norme maintenance preventiv correctif,-1
Assistante gouvernante,BestProfil,Tourisme / Hôtellerie / Restauration,Marrakech,,"averee en gestion de maison, idealement dans un contexte international ou haut de gamme. excellente maitrise du francais et de l'anglais, une autre langue est un atout. capacite a gerer plusieurs taches simultanement et a travailler de maniere autonome. sens aigu du detail, rigueur et organisation. disponibilite et flexibilite pour des horaires variables. excellentes",Interim,en communication et en service client. sens des responsabilites et discretion. capacite a s'adapter a un environnement multiculturel.,marocannonces,Assistante gouvernante Tourisme / Hôtellerie / Restauration en communication et en service client. sens des responsabilites et discretion. capacite a s'adapter a un environnement multiculturel.,assistant gouvernant tourisme hotellerie restauration communication service client sen responsabilite discretion capacite adapter environnement multiculturel,-1
Standardiste,BestProfil,Tourisme / Hôtellerie / Restauration,Marrakech,,"prealable dans un role similaire, idealement dans le secteur de l'hotellerie ou des services. excellentes",Interim,en communication ecrite et orale. capacite a travailler de maniere autonome et en equipe. sens aigu du detail et de l'organisation. connaissance des normes iso ou d'autres systemes de gestion de la qualite est un atout.,marocannonces,Standardiste Tourisme / Hôtellerie / Restauration en communication ecrite et orale. capacite a travailler de maniere autonome et en equipe. sens aigu du detail et de l'organisation. connaissance des normes iso ou d'autres systemes de gestion de la qualite est un atout.,standardist tourisme hotellerie restauration communication ecrit oral capacite travailler manier autonome equipe sens aigu detail organisation connaissance norme iso systeme gestion qualite atout,-1
Stagiaire rh chellalate,Maroc Express,Ressources Humaines / Recrutement / Intérim,Casablanca,,"3 a 6 mois, debut des que possible",Stage,,marocannonces,Stagiaire rh chellalate Ressources Humaines / Recrutement / Intérim,stagiaire chellalat ressource humain recrutemer interim,4
Agent de suivi de flotte gps,OZONEXPRESS,Transport / Achat / Logistique,Casablanca,"Transport, Logistique","terrain obligatoire (suivi de flotte, transport, logistique ou",A discuter,"experience terrain obligatoire (suivi de flotte, transport, logistique ou",marocannonces,"Agent de suivi de flotte gps Transport, Logistique Transport / Achat / Logistique experience terrain obligatoire (suivi de flotte, transport, logistique ou",agent suivi flotte transport logistique transport achat logistique experience terrain obligatoire flotte transport logistique,9
Commercial terrain,STG TELEMATICS MOROCCO,Commercial / Vente,Tanger,"bac+3 en commerce, gestion ou","souhaitee en vente terrain ou b2b excellent sens relationnel et fibre commerciale capacite de negociation et orientation resultats autonomie, organisation et perseverance bonne connaissance de la region de tanger permis b",A discuter,,marocannonces,"Commercial terrain bac+3 en commerce, gestion ou Commercial / Vente",commercial terrain bac commerce gestion commercial vente,0
Agent de pointage hay mohammadi,OZONEXPRESS,Transport / Achat / Logistique,Casablanca,,non exigee debutant bienvenu - residence : casablanca-region hay mohammadi (obligatoire) - a laise avec les systemes informatique vos,A discuter,- age : 21 ans et plus - niveau scolaire : niveau bac-bac - experience : non exigee debutant bienvenu - residence : casablanca-region hay mohammadi (obligatoire) - a laise avec les systemes informatique vos,marocannonces,Agent de pointage hay mohammadi Transport / Achat / Logistique - age : 21 ans et plus - niveau scolaire : niveau bac-bac - experience : non exigee debutant bienvenu - residence : casablanca-region hay mohammadi (obligatoire) - a laise avec les systemes informatique vos,agent pointage hay mohammadi transport achat logistique niveau scolaire niveau bac bac experience non exigee debutant bienvenu residence casablanca region hay mohammadi obligatoire laise systeme informatique,-1
chargé de clientèle d'agence,DEKRA,Banque / Finance / Assurance,Oujda,,merci d'envoyer vos candidature,Interim,,marocannonces,chargé de clientèle d'agence Banque / Finance / Assurance,charge clientele agence banqu finance assuranc,23
Microbiologistes et chimistes cdi,Groupe Multi-Laboratoire LC2A,Santé / Médical,Agadir,- bac+3/5 en biologie microbiologie ou,"s en tant que technicien laboratoire ou dans un poste similaire - bonne maitrise des techniques danalyses microbiologiques - serieux, organise et esprit dequipe - poste base a agadir merci d'envoyer votre cv via ce site marocannonces bonne chance a tous",A discuter,,marocannonces,Microbiologistes et chimistes cdi - bac+3/5 en biologie microbiologie ou Santé / Médical,microbiologiste chimiste cdi bac biologie microbiologi sante medical,-1
Chargé de clientèle d'agence,DEKRA,Banque / Finance / Assurance,Fès,,merci d'envoyer vos candidature,Interim,,marocannonces,Chargé de clientèle d'agence Banque / Finance / Assurance,charge clientele agence banqu finance assuranc,23
chargé de clientèle d'agence casa,DEKRA,Banque / Finance / Assurance,Casablanca,,merci d'envoyer vos candidature,Interim,,marocannonces,chargé de clientèle d'agence casa Banque / Finance / Assurance,charge clientele agence casa banqu finance assuranc,23
Plusieurs postes restaurant à,GROUPE RESTAURANTS,Tourisme / Hôtellerie / Restauration,Marrakech,,en restauration. une bonne maitrise des techniques culinaires propres a chaque poste est indispensable.,Interim,"s qualifies pour renforcer ses equipes en cuisine. nous recrutons pour les postes suivants : chef de partie snack chef de partie chaud chef de partie garde-manger sushi man les candidats retenus devront faire preuve de rigueur, de creativite et d'une solide experience en restauration. une bonne maitrise des techniques culinaires propres a chaque poste est indispensable.",marocannonces,"Plusieurs postes restaurant à Tourisme / Hôtellerie / Restauration s qualifies pour renforcer ses equipes en cuisine. nous recrutons pour les postes suivants : chef de partie snack chef de partie chaud chef de partie garde-manger sushi man les candidats retenus devront faire preuve de rigueur, de creativite et d'une solide experience en restauration. une bonne maitrise des techniques culinaires propres a chaque poste est indispensable.",poste restaurer tourisme hotellerie restauration qualifier renforcer equipe cuisine recruter poste chef partie snack chef partie chaud chef partie garde manger sushi man candidat retenir devoir faire preuve rigueur creativite solide experience restauration bon maitrise technique culinaire propre poste indispensable,-1
Charge de caisse,prestation de service,Banque / Finance / Assurance,Marrakech,Commerce,dans le,A discuter,"charge de caisse titulaire d'un bac+3 en eco et gestion, commerce, avec au moins un an d'experience dans le",marocannonces,"Charge de caisse Commerce Banque / Finance / Assurance charge de caisse titulaire d'un bac+3 en eco et gestion, commerce, avec au moins un an d'experience dans le",charge caisse commerce banqu finance assuranc charge caisse titulaire bac eco gestion commerc experience,-1
Gestionnaire de stock,prestation de service,Transport / Achat / Logistique,Berrechid,Logistique,"maitrise des outils informatique organisation, rigueur, communication pour les interesses, merci de nous envoyer votre candidature. salutations.",CDD,"bac +2 en logistique / gestion de stock minimum 1 an dexperience maitrise des outils informatique organisation, rigueur, communication pour les interesses, merci de nous envoyer votre candidature. salutations.",marocannonces,"Gestionnaire de stock Logistique Transport / Achat / Logistique bac +2 en logistique / gestion de stock minimum 1 an dexperience maitrise des outils informatique organisation, rigueur, communication pour les interesses, merci de nous envoyer votre candidature. salutations.",gestionnaire stock logistique transport achat logistique bac logistique gestion stock minimum dexperience maitrise outil informatique organisation rigueur communication interesse envoyer candidature salutation,-1
Manager h/f mohammedia,McDonald's,Tourisme / Hôtellerie / Restauration,Casablanca,,"en management, relation client, vente, etc...est souhaitable , bonne maitrise de la relation client animation d'equipe pratique professionnelle de la langue francaise.",CDI,"comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses",marocannonces,"Manager h/f mohammedia Tourisme / Hôtellerie / Restauration comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses",manager heure mohammedia tourisme hotellerie restauration comportemental manageriale operationnelle pouvoir evoluer poste assister apre remplir critere passer conseil nomination decrocher eventuellement poste directeur restaurer fois,24
Manager (h/f),McDonald's,Tourisme / Hôtellerie / Restauration,Rabat,,"en management, relation client, vente, etc...est souhaitable , bonne maitrise de la relation client animation d'equipe pratique professionnelle de la langue francaise.",CDI,"comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses",marocannonces,"Manager (h/f) Tourisme / Hôtellerie / Restauration comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses",manager heure tourisme hotellerie restauration comportemental manageriale operationnelle pouvoir evoluer poste assister apre remplir critere passer conseil nomination decrocher eventuellement poste directeur restaurer fois,24
Infirmière / technicien climatisation,a domicile,Santé / Médical,Casablanca,,+ 06 ans.,A discuter,,marocannonces,Infirmière / technicien climatisation Santé / Médical,infirmiere technicien climatisation sant medical,16
Manager h/f,McDonald's,Tourisme / Hôtellerie / Restauration,Kénitra,,"en management, relation client, vente, etc...est souhaitable , bonne maitrise de la relation client animation d'equipe pratique professionnelle de la langue francaise.",CDI,"comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses",marocannonces,"Manager h/f Tourisme / Hôtellerie / Restauration comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses",manager heure tourisme hotellerie restauration comportemental manageriale operationnelle pouvoir evoluer poste assister apre remplir critere passer conseil nomination decrocher eventuellement poste directeur restaurer fois,24
Manager h/f,McDonald's,Tourisme / Hôtellerie / Restauration,Salé,,"en management, relation client, vente, etc...est souhaitable , bonne maitrise de la relation client animation d'equipe pratique professionnelle de la langue francaise.",CDI,"comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses",marocannonces,"Manager h/f Tourisme / Hôtellerie / Restauration comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses",manager heure tourisme hotellerie restauration comportemental manageriale operationnelle pouvoir evoluer poste assister apre remplir critere passer conseil nomination decrocher eventuellement poste directeur restaurer fois,24
Chef de personnel,Confidentiel,Autre,Salé,,", idealement dans le secteur textile ou industriel excellente maitrise de la legislation sociale marocaine sens de lorganisation, rigueur et confidentialite bon relationnel et capacite a gerer des situations sensibles poste base a sale - merci dadresser votre candidature via ce site marocannonces",CDI,"bac+3 a bac+5 en gestion des ressources humaines, droit social ou equivalent minimum 8 a 10 ans dexperience, idealement dans le secteur textile ou industriel excellente maitrise de la legislation sociale marocaine sens de lorganisation, rigueur et confidentialite bon relationnel et capacite a gerer des situations sensibles poste base a sale - merci dadresser votre candidature via ce site marocannonces",marocannonces,"Chef de personnel Autre bac+3 a bac+5 en gestion des ressources humaines, droit social ou equivalent minimum 8 a 10 ans dexperience, idealement dans le secteur textile ou industriel excellente maitrise de la legislation sociale marocaine sens de lorganisation, rigueur et confidentialite bon relationnel et capacite a gerer des situations sensibles poste base a sale - merci dadresser votre candidature via ce site marocannonces",chef personnel bac bac gestion ressource humain droit social equivalent minimum dexperience idealement secteur textile industriel excellent maitrise legislation social marocain sens lorganisation rigueur confidentialite bon relationnel capacite gerer situation sensible post base sale dadresser candidature site marocannonce,-1
Grutier skhirat,MAROC FORCE EMPLOI,Construction / Btp,Temara,,,Interim,grutier : caces grue (ou equivalent) obligatoire + permis c/ec souhaite pour grue mobile,marocannonces,Grutier skhirat Construction / Btp grutier : caces grue (ou equivalent) obligatoire + permis c/ec souhaite pour grue mobile,grutier skhirat construction btp grutier cace gru equivalent obligatoire permettre souhaiter grue mobile,-1
Technicien informatique & développement,PC MAROC,Informatique / Multimédia / Internet,Casablanca,,dans les solutions de caisse est un plus,CDI,,marocannonces,Technicien informatique & développement Informatique / Multimédia / Internet,technicien informatique developpement informatique multimedia internet,6
Chargé(e) organisation & process,RH,Entreprise / Import / Export,Casablanca,,de 3 a 5 ans minimum dans une,CDI,"formation superieure bac +3 a bac +5 en management, qualite, audit, organisation ou equivalent experience de 3 a 5 ans minimum dans une",marocannonces,"Chargé(e) organisation & process Entreprise / Import / Export formation superieure bac +3 a bac +5 en management, qualite, audit, organisation ou equivalent experience de 3 a 5 ans minimum dans une",charge organisation proces entreprise import export formation superieur bac bac management qualite audit organisation equivalent experience minimum,9
Responsable exploitation logistique /,recrute,Transport / Achat / Logistique,Casablanca,Logistique,"significative dans un poste similaire forte capacite dorganisation et de leadership maitrise des outils de gestion de stock et dexcel rigueur, reactivite et sens des responsabilites",CDI,"formation superieure en logistique, supply chain ou gestion experience significative dans un poste similaire forte capacite dorganisation et de leadership maitrise des outils de gestion de stock et dexcel rigueur, reactivite et sens des responsabilites",marocannonces,"Responsable exploitation logistique / Logistique Transport / Achat / Logistique formation superieure en logistique, supply chain ou gestion experience significative dans un poste similaire forte capacite dorganisation et de leadership maitrise des outils de gestion de stock et dexcel rigueur, reactivite et sens des responsabilites",responsable exploitation logistique logistique transport achat logistique formation superieur logistique supply chain gestion experience significatif poste similaire fort capacite dorganisation leadership maitrise outil gestion stock dexcel rigueur reactivite sens responsabilite,-1
Assistante commerciale agence tanger,GROUP LE MATIN,Édition / Imprimerie / Journalisme,Casablanca,Commerce,dans une,CDI,"- bac+2 a bac+4 en commerce, gestion ou equivalent - premiere experience dans une",marocannonces,"Assistante commerciale agence tanger Commerce Édition / Imprimerie / Journalisme - bac+2 a bac+4 en commerce, gestion ou equivalent - premiere experience dans une",assistant commercial agencer tanger commerce edition imprimeri journalism bac bac commerce gestion equivalent experience,-1
Comptable confirmé(e),société,Autre,Casablanca,Excel,"dans un poste similaire ; bonne maitrise des outils bureautiques (excel, logiciels comptables, erp) ; connaissance solide des normes comptables et fiscales locales ; esprit danalyse, rigueur, autonomie et sens de la confidentialite ; bon relationnel et capacite a travailler en equipe.",CDI,"diplome en comptabilite, finance ou gestion ; minimum 5 ans dexperience dans un poste similaire ; bonne maitrise des outils bureautiques (excel, logiciels comptables, erp) ; connaissance solide des normes comptables et fiscales locales ; esprit danalyse, rigueur, autonomie et sens de la confidentialite ; bon relationnel et capacite a travailler en equipe.",marocannonces,"Comptable confirmé(e) Excel Autre diplome en comptabilite, finance ou gestion ; minimum 5 ans dexperience dans un poste similaire ; bonne maitrise des outils bureautiques (excel, logiciels comptables, erp) ; connaissance solide des normes comptables et fiscales locales ; esprit danalyse, rigueur, autonomie et sens de la confidentialite ; bon relationnel et capacite a travailler en equipe.",comptable confirme excel diplome comptabilite finance gestion minimum dexperience poste similaire bon maitrise outil bureautique excel logiciel comptable erp connaissance solide norme comptable fiscale local esprit danalyse rigueur autonomie sens confidentialite bon relationnel capacite travailler equipe,7
Pré vendeur à (food),SAPLINCO,Commercial / Vente,Meknès,"Commerce, Vente",souhaitee dans la vente ou la distribution de produits alimentaires (food). bonne connaissance de la,A discuter,niveau bac a bac+2 en commerce ou equivalent. experience souhaitee dans la vente ou la distribution de produits alimentaires (food). bonne connaissance de la,marocannonces,"Pré vendeur à (food) Commerce, Vente Commercial / Vente niveau bac a bac+2 en commerce ou equivalent. experience souhaitee dans la vente ou la distribution de produits alimentaires (food). bonne connaissance de la",vendeur food commerce vent commercial vente niveau bac bac commerce equivalent experience souhaitee vente distribution produit alimentaire food bon connaissance,0
Trade marketing & merchandising ( retail ),Multinational,Mode / Luxe / Beauté,Casablanca,,de 3 a 5 ans en trade marketing / retail / fmcg - bonne maitrise du merchandising et de lanalyse commerciale - excellentes capacites organisationnelles et esprit analytique - leadership transversal et orientation resultats,CDI,- bac+5 en marketing / communication - experience de 3 a 5 ans en trade marketing / retail / fmcg - bonne maitrise du merchandising et de lanalyse commerciale - excellentes capacites organisationnelles et esprit analytique - leadership transversal et orientation resultats,marocannonces,Trade marketing & merchandising ( retail ) Mode / Luxe / Beauté - bac+5 en marketing / communication - experience de 3 a 5 ans en trade marketing / retail / fmcg - bonne maitrise du merchandising et de lanalyse commerciale - excellentes capacites organisationnelles et esprit analytique - leadership transversal et orientation resultats,trad marketing merchandising retail mode lux beaut bac marketing communication experienc trade marketing retail fmcg bon maitrise merchandising lanalyse commercial excellente capacite organisationnel esprit analytique leadership transversal orientation resultat,-1
Responsable relation client,Multinational,Mode / Luxe / Beauté,Casablanca,relationnelles et organisationnelles,client cross-canal - superviser la qualite et la conformite des donnees clients,CDI,,marocannonces,Responsable relation client relationnelles et organisationnelles Mode / Luxe / Beauté,responsable relation client relationnelle organisationnel mode lux beaut,-1
Chaudronnier,manpower,Autre,Berrechid,,"souhaitee dans un environnement industriel, idealement automobile bonne maitrise des techniques de soudure et des outils de fabrication rigueur, autonomie et esprit dequipe",Interim,"diplome en chaudronnerie, construction metallique ou equivalent experience souhaitee dans un environnement industriel, idealement automobile bonne maitrise des techniques de soudure et des outils de fabrication rigueur, autonomie et esprit dequipe",marocannonces,"Chaudronnier Autre diplome en chaudronnerie, construction metallique ou equivalent experience souhaitee dans un environnement industriel, idealement automobile bonne maitrise des techniques de soudure et des outils de fabrication rigueur, autonomie et esprit dequipe",chaudronnier diplome chaudronnerie construction metalliqu equivalent experience souhaitee environnement industriel idealement automobile bon maitrise technique soudure outil fabrication rigueur autonomie esprit dequip,-1
Techniciens Électromécanique Électrotechnique,manpower,Autre,Berrechid,Mecanique,"souhaitee dans un environnement industriel (idealement automobile) bonnes connaissances en electricite industrielle, automatisme et mecanique esprit danalyse, rigueur et sens des responsabilites capacite a travailler en equipe conditions",Interim,"diplome de technicien specialise en electromecanique ou electrotechnique experience souhaitee dans un environnement industriel (idealement automobile) bonnes connaissances en electricite industrielle, automatisme et mecanique esprit danalyse, rigueur et sens des responsabilites capacite a travailler en equipe conditions",marocannonces,"Techniciens Électromécanique Électrotechnique Mecanique Autre diplome de technicien specialise en electromecanique ou electrotechnique experience souhaitee dans un environnement industriel (idealement automobile) bonnes connaissances en electricite industrielle, automatisme et mecanique esprit danalyse, rigueur et sens des responsabilites capacite a travailler en equipe conditions",technicien electromecaniqu electrotechniqu mecaniqu diplome technicien specialise electromecanique electrotechnique experience souhaitee environnement industriel idealement automobile bon connaissance electricite industriel automatisme mecaniqu esprit danalyse rigueur sens responsabilite capacite travailler equipe condition,-1
Consultant comptable stage pré embauche (rémunéré),Cabinet d'expertise comptable,Comptabilité / Gestion / Audit,Casablanca,linguistiques.,"reussie (stage) au sein dun cabinet comptable ; - solides connaissances en comptabilite generale et fiscalite ; - bonne maitrise du francais a lecrit comme a loral ; - rigueur, sens de lorganisation et esprit dequipe. conditions - stage remunere selon profil ; - embauche a lissue du stage ; - environnement de travail professionnel et formateur",CDI,,marocannonces,Consultant comptable stage pré embauche (rémunéré) linguistiques. Comptabilité / Gestion / Audit,consulter comptable stage embauch remunere linguistique comptabilite gestion audit,-1
Cherchons electromecanicien,,Édition / Imprimerie / Journalisme,Casablanca,,,A discuter,,marocannonces,Cherchons electromecanicien Édition / Imprimerie / Journalisme,cherchon electromecanicien edition imprimeri journalisme,-1
Cuisinier chawarma / serveurs/ commis de cuisine,agha,Tourisme / Hôtellerie / Restauration,Rabat,,,A discuter,s suivants: - cuisinier chawarma - serveurs - commis de cuisine,marocannonces,Cuisinier chawarma / serveurs/ commis de cuisine Tourisme / Hôtellerie / Restauration s suivants: - cuisinier chawarma - serveurs - commis de cuisine,cuisinier chawarma serveur commettre cuisine tourisme hotellerie restauration cuisinier chawarma serveur commettre cuisine,11
Technicien laboratoire clinique,AKDITAL,Santé / Médical,Casablanca,Securite,"dans un laboratoire danalyses medicales souhaitee. - rigueur, sens de lorganisation et esprit dequipe. - connaissance des regles de qualite, hygiene et securite.",CDI,"- licence en biologie (ou diplome equivalent). - experience dans un laboratoire danalyses medicales souhaitee. - rigueur, sens de lorganisation et esprit dequipe. - connaissance des regles de qualite, hygiene et securite.",marocannonces,"Technicien laboratoire clinique Securite Santé / Médical - licence en biologie (ou diplome equivalent). - experience dans un laboratoire danalyses medicales souhaitee. - rigueur, sens de lorganisation et esprit dequipe. - connaissance des regles de qualite, hygiene et securite.",technicien laboratoire clinique securit sant medical licenc biologie diplome equivalent experience laboratoire danalyse medicale souhaitee rigueur sens lorganisation esprit dequip connaissance regle qualite hygien securite,-1
Manutentionnaire ain harrouda transport assuré,Confidentiel,Industrie / Ingénierie / Energie,Casablanca,,,Interim,,marocannonces,Manutentionnaire ain harrouda transport assuré Industrie / Ingénierie / Energie,manutentionnaire ain harrouda transport assurer industrie ingenierie energie,19
Réceptionniste d'hotel,,Tourisme / Hôtellerie / Restauration,Agadir,,,,,marocannonces,Réceptionniste d'hotel Tourisme / Hôtellerie / Restauration,receptionniste hotel tourisme hotellerie restauration,11
Chef de partie pâtisserie rejoignez notre brigad,Charif,Tourisme / Hôtellerie / Restauration,Casablanca,,"en patisserie pro. creativite, rigueur et esprit dequipe. horaires matinaux precoces (des 6h) : obligatoires, aucun probleme ! avantages",CDI,"2+ ans dexperience en patisserie pro. creativite, rigueur et esprit dequipe. horaires matinaux precoces (des 6h) : obligatoires, aucun probleme ! avantages",marocannonces,"Chef de partie pâtisserie rejoignez notre brigad Tourisme / Hôtellerie / Restauration 2+ ans dexperience en patisserie pro. creativite, rigueur et esprit dequipe. horaires matinaux precoces (des 6h) : obligatoires, aucun probleme ! avantages",chef partie patisseri rejoindre brigad tourisme hotellerie restauration dexperience patisserie pro creativite rigueur esprit dequip horaire matinal precoce heure obligatoire aucun probleme avantage,-1
